drug,adverse_event,report_count
teduglutide,bone pain,81
teduglutide,muscle strain,81
tirzepatide,muscular weakness,81
tocilizumab,accidental exposure to product,81
treprostinil,cardiac arrest,81
treprostinil,device failure,81
vedolizumab,bile acid malabsorption,81
vedolizumab,covid-19 pneumonia,81
vedolizumab,pneumothorax,81
vedolizumab,polyp,81
vedolizumab,retinal detachment,81
vedolizumab,sciatica,81
vedolizumab,stoma site pain,81
vedolizumab,therapeutic product effect incomplete,81
velaglucerase alfa,dry eye,81
velaglucerase alfa,gastrooesophageal reflux disease,81
velaglucerase alfa,medication error,81
velaglucerase alfa,neck pain,81
venetoclax,headache,81
vibegron,therapeutic product effect incomplete,81
zolpidem tartrate,intentional overdose,81
abatacept,back pain,80
abatacept,urinary tract infection,80
abemaciclib,rash,80
acetaminophen,arthralgia,80
acetaminophen,tachycardia,80
adalimumab,abscess,80
adalimumab,adjustment disorder with depressed mood,80
adalimumab,cellulitis,80
adalimumab-aaty,arthralgia,80
adalimumab-atto,injection site pain,80
alendronate sodium,lupus vulgaris,80
amphetamine aspartate\amphetamine sulfate\dextroamphetamine saccharate\dextroamphetamine sulfate,road traffic accident,80
aripiprazole,product availability issue,80
asfotase alfa,anxiety,80
bimekizumab,urinary tract infection,80
budesonide,colitis ulcerative,80
cannabidiol,fall,80
carbidopa\levodopa,movement disorder,80
celecoxib,inflammation,80
certolizumab pegol,facet joint syndrome,80
citalopram,toxicity to various agents,80
clozapine,platelet count increased,80
clozapine,thrombocytosis,80
copper,urinary tract infection,80
corticotropin,somnolence,80
daratumumab,plasma cell myeloma,80
dexamethasone,therapy partial responder,80
diclofenac,abdominal pain upper,80
diclofenac,contusion,80
diclofenac,musculoskeletal pain,80
diclofenac sodium,gastrointestinal disorder,80
diclofenac sodium,insomnia,80
diclofenac sodium,osteoarthritis,80
doxorubicin hydrochloride,febrile neutropenia,80
doxycycline,rash,80
dupilumab,sinus headache,80
eculizumab,dizziness,80
elacestrant,malignant neoplasm progression,80
emtricitabine\tenofovir disoproxil fumarate,pain,80
"estrogens, conjugated",illness,80
etanercept,sinusitis,80
etoposide,neutropenia,80
everolimus,malignant neoplasm progression,80
evolocumab,asthenia,80
evolocumab,fall,80
ezetimibe,headache,80
fam-trastuzumab deruxtecan-nxki,dyspnoea,80
fam-trastuzumab deruxtecan-nxki,weight decreased,80
fluoxetine hydrochloride,drug ineffective,80
fruquintinib,cough,80
fruquintinib,off label use,80
fulvestrant,decreased immune responsiveness,80
gabapentin,intentional overdose,80
golimumab,bronchitis,80
human c1-esterase inhibitor,asthenia,80
human immunoglobulin g,accident,80
human immunoglobulin g,brain injury,80
human immunoglobulin g,infusion site vesicles,80
human immunoglobulin g,rosacea,80
human immunoglobulin g,taste disorder,80
human immunoglobulin g\hyaluronidase (human recombinant),application site pain,80
human immunoglobulin g\hyaluronidase (human recombinant),gait inability,80
ibrutinib,thrombocytopenia,80
ibuprofen,gastrointestinal haemorrhage,80
icatibant acetate,food allergy,80
icatibant acetate,suicidal ideation,80
idursulfase,device power source issue,80
idursulfase,ligament sprain,80
inclisiran sodium,injection site reaction,80
infliximab-dyyb,mobility decreased,80
infliximab-dyyb,skin lesion,80
insulin glargine,injection site bruising,80
iopromide,anaphylactic shock,80
ipilimumab,off label use,80
lamotrigine,toxic epidermal necrolysis,80
lanadelumab,product use in unapproved indication,80
lanadelumab,syringe issue,80
letrozole,pain,80
leuprolide acetate,pain,80
leuprolide acetate,pneumonia aspiration,80
levothyroxine sodium,dehydration,80
lorlatinib,diarrhoea,80
lumateperone,nausea,80
mavacamten,atrial fibrillation,80
measles virus strain enders^ attenuated edmonston live antigen\mumps virus strain b level jeryl lynn live antigen\rubella virus strain wistar ra 27/3 live antigen\varicella-zoster virus strain oka/merck live antigen,product storage error,80
mepolizumab,contusion,80
methotrexate,influenza,80
mirabegron,off label use,80
montelukast sodium,dyspnoea,80
mycophenolate mofetil,death,80
ocrelizumab,influenza like illness,80
ofatumumab,alopecia,80
omalizumab,depression,80
osimertinib,drug ineffective,80
oxycodone hydrochloride,completed suicide,80
oxycodone hydrochloride,rash,80
paclitaxel,fatigue,80
paclitaxel,rash,80
paclitaxel,thrombocytopenia,80
palbociclib,hypertension,80
pancrelipase amylase\pancrelipase lipase\pancrelipase protease,dehydration,80
pancrelipase amylase\pancrelipase lipase\pancrelipase protease,off label use,80
pancrelipase amylase\pancrelipase lipase\pancrelipase protease,pancreatectomy,80
pimavanserin tartrate,dysgraphia,80
pimavanserin tartrate,hypotension,80
pomalidomide,muscular weakness,80
propofol,drug ineffective,80
ravulizumab-cwvz,dizziness,80
risankizumab-rzaa,hepatic enzyme increased,80
risperidone,accidental overdose,80
risperidone,tremor,80
rituximab,feeling hot,80
rituximab,pharyngeal paraesthesia,80
rituximab-pvvr,erythema,80
ruxolitinib,feeling hot,80
sacubitril\valsartan,blood pressure increased,80
sarilumab,hepatic enzyme increased,80
sarilumab,mobility decreased,80
sarilumab,swollen joint count increased,80
sarilumab,systemic lupus erythematosus,80
secukinumab,back injury,80
secukinumab,injection site haemorrhage,80
semaglutide,injection site swelling,80
sertraline hydrochloride,erectile dysfunction,80
sertraline hydrochloride,medication error,80
sildenafil citrate,hospitalisation,80
somatropin,product availability issue,80
sulfamethoxazole\trimethoprim,drug ineffective,80
tacrolimus,blood creatinine increased,80
tacrolimus,bronchopulmonary aspergillosis,80
tacrolimus,nausea,80
teduglutide,device malfunction,80
teduglutide,humerus fracture,80
teduglutide,medical device site infection,80
teduglutide,wrist fracture,80
teduglutide,wrong technique in device usage process,80
temozolomide,disease progression,80
teprotumumab-trbw,economic problem,80
teriparatide,pain,80
tislelizumab,off label use,80
tocilizumab,muscular weakness,80
tofacitinib citrate,skin cancer,80
tramadol,substance use disorder,80
treprostinil,blood pressure systolic increased,80
treprostinil,idiopathic pulmonary fibrosis,80
treprostinil,skin irritation,80
trofinetide,gastrointestinal disorder,80
upadacitinib,dry skin,80
upadacitinib,paraesthesia,80
upadacitinib,syncope,80
vedolizumab,bacterial infection,80
vedolizumab,enterocutaneous fistula,80
vedolizumab,skin infection,80
velaglucerase alfa,chest pain,80
abaloparatide,fracture,79
acetaminophen,abdominal discomfort,79
acetaminophen,aspartate aminotransferase increased,79
acetaminophen,constipation,79
adalimumab,dislocation of vertebra,79
adalimumab,needle issue,79
adalimumab,underdose,79
alendronate sodium,anxiety,79
alendronate sodium,delirium,79
alteplase,off label use,79
amikacin,tinnitus,79
amiodarone,hypothyroidism,79
anastrozole,decreased immune responsiveness,79
"antihemophilic factor, human recombinant",blood pressure increased,79
"antihemophilic factor, human recombinant",nephrolithiasis,79
"antihemophilic factor, human recombinant",sports injury,79
apremilast,weight decreased,79
avapritinib,tryptase increased,79
avatrombopag maleate,platelet count decreased,79
belimumab,covid-19,79
belimumab,depression,79
bevacizumab,pain,79
bimekizumab,pruritus,79
bosutinib monohydrate,nausea,79
brigatinib,gait disturbance,79
brivaracetam,drug ineffective,79
budesonide,vomiting,79
budesonide\formoterol,illness,79
budesonide\formoterol\glycopyrrolate,wheezing,79
calcium carbonate,sleep disorder,79
carbidopa\levodopa,decreased appetite,79
celecoxib,muscle spasms,79
cenobamate,incorrect dose administered,79
certolizumab pegol,pulmonary fibrosis,79
cetirizine hydrochloride,diarrhoea,79
ciclesonide,asthma,79
ciprofloxacin,nausea,79
clonazepam,off label use,79
clozapine,dyspepsia,79
corticotropin,diabetes mellitus,79
cyclosporine,nausea,79
dapagliflozin propanediol,dizziness,79
denosumab,metastases to bone,79
dexamethasone,therapy non-responder,79
diclofenac,drug-induced liver injury,79
diclofenac,liver injury,79
diclofenac,product use issue,79
diclofenac,rheumatic fever,79
diclofenac,stomatitis,79
diclofenac,treatment failure,79
diclofenac sodium,prescribed overdose,79
doxycycline,condition aggravated,79
dupilumab,blood pressure abnormal,79
dupilumab,dry throat,79
dupilumab,eosinophilic pneumonia,79
durvalumab,leukopenia,79
eculizumab,exposure during pregnancy,79
edaravone,death,79
elexacaftor\ivacaftor\tezacaftor,suicidal ideation,79
emicizumab-kxwh,muscle haemorrhage,79
enoxaparin sodium,device malfunction,79
escitalopram oxalate,tremor,79
etanercept,musculoskeletal stiffness,79
fenfluramine hydrochloride,mitral valve incompetence,79
filgrastim,death,79
foscarbidopa\foslevodopa,bradykinesia,79
foscarbidopa\foslevodopa,gait inability,79
fremanezumab-vfrm,device leakage,79
fremanezumab-vfrm,device malfunction,79
glatiramer acetate,injection site erythema,79
guselkumab,fatigue,79
human c1-esterase inhibitor,therapy interrupted,79
human immunoglobulin g,eczema,79
human immunoglobulin g,haemorrhoids,79
human immunoglobulin g,tendon rupture,79
human immunoglobulin g,white blood cells urine positive,79
human immunoglobulin g\hyaluronidase (human recombinant),autism spectrum disorder,79
human immunoglobulin g\hyaluronidase (human recombinant),diabetes mellitus,79
human immunoglobulin g\hyaluronidase (human recombinant),gastrooesophageal reflux disease,79
ibuprofen,diarrhoea,79
ibuprofen,fatigue,79
icatibant acetate,accident,79
icatibant acetate,rhinitis,79
icatibant acetate,sinusitis,79
idursulfase,gastrointestinal viral infection,79
idursulfase,product supply issue,79
imatinib,haematotoxicity,79
infliximab-dyyb,cellulitis,79
infliximab-dyyb,death,79
infliximab-dyyb,overdose,79
iohexol,dyspnoea,79
ipilimumab,diarrhoea,79
ixazomib,sinusitis,79
ixazomib,upper respiratory tract infection,79
ketamine hydrochloride,drug abuse,79
lanadelumab,arthralgia,79
lanadelumab,fluid retention,79
lansoprazole,diarrhoea,79
lansoprazole,drug ineffective,79
leflunomide,product use in unapproved indication,79
lenalidomide,arthritis,79
letrozole,electrocardiogram qt prolonged,79
levetiracetam,pyrexia,79
levodopa,death,79
levothyroxine sodium,tinnitus,79
liraglutide,vomiting,79
lorlatinib,blood pressure increased,79
medroxyprogesterone acetate,device leakage,79
mepolizumab,infection,79
methotrexate,accidental overdose,79
methotrexate sodium,dyspnoea,79
methoxy polyethylene glycol-epoetin beta,dyspnoea,79
methylphenidate hydrochloride,anxiety,79
mirtazapine,off label use,79
mycophenolate mofetil,pancytopenia,79
mycophenolate mofetil,thrombotic microangiopathy,79
niraparib,off label use,79
ofatumumab,neutropenia,79
omalizumab,blood immunoglobulin e increased,79
omalizumab,death,79
omalizumab,flushing,79
oxycodone hydrochloride,illness,79
paclitaxel,feeling hot,79
pacritinib,platelet count decreased,79
pembrolizumab,cholangitis,79
pembrolizumab,drug eruption,79
pembrolizumab,haemophagocytic lymphohistiocytosis,79
pembrolizumab,hyponatraemia,79
pembrolizumab,thyroid disorder,79
pembrolizumab,type 1 diabetes mellitus,79
ponatinib,dry eye,79
ponatinib,full blood count decreased,79
prednisone,fall,79
quetiapine,condition aggravated,79
quetiapine fumarate,constipation,79
ravulizumab-cwvz,cataract,79
relugolix,middle insomnia,79
ribociclib succinate,memory impairment,79
ribociclib succinate,thrombocytopenia,79
ripretinib,rash,79
risankizumab-rzaa,adverse drug reaction,79
risankizumab-rzaa,coronary artery occlusion,79
risankizumab-rzaa,injection site erythema,79
rituximab-pvvr,heart rate increased,79
rivaroxaban,haemorrhage,79
rosuvastatin,dizziness,79
rosuvastatin,pain in extremity,79
ruxolitinib,incorrect dose administered,79
semaglutide,colitis,79
semaglutide,knee arthroplasty,79
somatropin,poor quality product administered,79
sparsentan,diarrhoea,79
teduglutide,vaginal haemorrhage,79
tezepelumab-ekko,rash,79
tocilizumab,incorrect dose administered,79
tofacitinib citrate,brain fog,79
tofacitinib citrate,nasal congestion,79
tolvaptan,headache,79
tralokinumab-ldrm,injection site swelling,79
tramadol,poisoning deliberate,79
tramadol hydrochloride,drug ineffective,79
treprostinil,disorientation,79
treprostinil,ear infection,79
umeclidinium bromide\vilanterol trifenatate,product dose omission issue,79
upadacitinib,gastrooesophageal reflux disease,79
ustekinumab,malaise,79
ustekinumab,pneumonia,79
vedolizumab,metastases to lymph nodes,79
vedolizumab,septic shock,79
velaglucerase alfa,sciatica,79
venetoclax,weight decreased,79
venlafaxine hydrochloride,drug abuse,79
voclosporin,renal impairment,79
voclosporin,vomiting,79
zanubrutinib,disease progression,79
zolbetuximab-clzb,malignant neoplasm progression,79
.alpha.1-proteinase inhibitor human,limb injury,78
.alpha.1-proteinase inhibitor human,respiratory distress,78
abaloparatide,balance disorder,78
abaloparatide,covid-19,78
abaloparatide,death,78
abaloparatide,lower limb fracture,78
abemaciclib,dehydration,78
abemaciclib,gastrointestinal disorder,78
abemaciclib,inappropriate schedule of product administration,78
acetaminophen,agitation,78
adalimumab,chronic obstructive pulmonary disease,78
adalimumab,diabetes mellitus,78
adalimumab,hypotension,78
adalimumab-aaty,rheumatoid arthritis,78
adalimumab-adaz,nausea,78
albuterol,product dose omission issue,78
albuterol,sleep disorder due to a general medical condition,78
albuterol sulfate,device use error,78
albuterol sulfate,therapeutic product effect incomplete,78
amoxicillin,urticaria,78
anastrozole,pain,78
asfotase alfa,fall,78
atorvastatin,gait disturbance,78
atorvastatin,insomnia,78
azacitidine,pyrexia,78
belimumab,cough,78
bevacizumab,headache,78
bimekizumab,lower respiratory tract infection,78
bimekizumab-bkzx,pain in extremity,78
budesonide\formoterol fumarate,off label use,78
budesonide\formoterol fumarate dihydrate,headache,78
cabozantinib s-malate,alopecia,78
cabozantinib s-malate,hepatic enzyme increased,78
carbamazepine,rash,78
certolizumab pegol,night sweats,78
cetuximab,white blood cell count decreased,78
citalopram,fatigue,78
clascoterone,product storage error,78
clozapine,affective disorder,78
clozapine,product use in unapproved indication,78
clozapine,sars-cov-2 test positive,78
cyclophosphamide,asthenia,78
dapagliflozin,euglycaemic diabetic ketoacidosis,78
daprodustat,off label use,78
diclofenac,fall,78
diclofenac,intentional product use issue,78
diltiazem,toxicity to various agents,78
dupilumab,facial pain,78
dupilumab,pulmonary mass,78
elacestrant,pain,78
elapegademase-lvlr,sinusitis,78
emicizumab-kxwh,limb injury,78
esomeprazole magnesium,cough,78
esomeprazole magnesium,dyspnoea,78
etanercept,hypersensitivity,78
etanercept,nausea,78
etanercept,wrong technique in product usage process,78
fenfluramine,drooling,78
fenfluramine,dyspnoea,78
fenfluramine,feeling abnormal,78
fluticasone furoate\umeclidinium bromide\vilanterol trifenatate,chronic obstructive pulmonary disease,78
ganciclovir,off label use,78
human c1-esterase inhibitor,anxiety,78
human c1-esterase inhibitor,pain in extremity,78
human immunoglobulin g,full blood count abnormal,78
human immunoglobulin g,haematological infection,78
human immunoglobulin g,type 2 diabetes mellitus,78
human immunoglobulin g\hyaluronidase (human recombinant),renal disorder,78
hyaluronidase-zzxf\pertuzumab\trastuzumab,diarrhoea,78
hydrochlorothiazide,hyponatraemia,78
ibrutinib,contusion,78
icatibant acetate,movement disorder,78
icatibant acetate,salivary hypersecretion,78
idursulfase,gastric infection,78
idursulfase,procedural pain,78
idursulfase,streptococcus test positive,78
inclisiran sodium,product storage error,78
infliximab,product use issue,78
infliximab-dyyb,discomfort,78
infliximab-dyyb,rectal haemorrhage,78
insulin lispro,cerebrovascular accident,78
insulin lispro,loss of consciousness,78
ixazomib,amnesia,78
lamotrigine,overdose,78
lanadelumab,bronchitis,78
lanadelumab,pyrexia,78
lanreotide acetate,hypertension,78
lenalidomide,abdominal distension,78
lenalidomide,rash macular,78
letrozole,cough,78
leuprolide acetate,covid-19,78
leuprolide acetate,device issue,78
leuprolide acetate,intentional dose omission,78
levothyroxine sodium,product use in unapproved indication,78
lidocaine,cardiac arrest,78
lutetium oxodotreotide lu-177,malignant neoplasm progression,78
mepolizumab,urticaria,78
mesalamine,abdominal pain,78
methotrexate,amnesia,78
methotrexate,illness,78
methotrexate,loss of personal independence in daily activities,78
methotrexate,swollen joint count increased,78
mycophenolate mofetil,aspergillus infection,78
mycophenolate mofetil,toxicity to various agents,78
mycophenolate mofetil,weight increased,78
natalizumab,nausea,78
nilotinib,pain,78
nintedanib,alopecia,78
nintedanib,faeces soft,78
niraparib,headache,78
ofatumumab,weight decreased,78
olaparib,hypoaesthesia,78
olaparib,pancytopenia,78
olaparib,pyrexia,78
oxycodone hydrochloride,inadequate analgesia,78
palbociclib,hypoaesthesia,78
palbociclib,product prescribing error,78
pembrolizumab,diabetic ketoacidosis,78
pembrolizumab,dizziness,78
polatuzumab vedotin-piiq,death,78
ponatinib,muscle spasms,78
ponatinib,muscular weakness,78
ponatinib,weight increased,78
prednisone,hypogammaglobulinaemia,78
pregabalin,nasopharyngitis,78
propofol,anaphylactic shock,78
quetiapine fumarate,completed suicide,78
ravulizumab-cwvz,cerebrovascular accident,78
relugolix,frequent bowel movements,78
ripretinib,myalgia,78
risankizumab-rzaa,incorrect dose administered,78
rituximab,osteoporosis,78
romosozumab-aqqg,headache,78
rozanolixizumab-noli,drug ineffective,78
rurioctocog alfa pegol,product use issue,78
ruxolitinib phosphate,drug ineffective,78
sacubitril\valsartan,blood creatinine increased,78
sarilumab,injection site bruising,78
secukinumab,decreased immune responsiveness,78
secukinumab,epilepsy,78
secukinumab,liver function test increased,78
secukinumab,prescribed overdose,78
secukinumab,road traffic accident,78
selinexor,death,78
sertraline hydrochloride,completed suicide,78
sertraline hydrochloride,overdose,78
sodium oxybate,neuropathy peripheral,78
somatropin,product use issue,78
sparsentan,pain,78
tacrolimus,vomiting,78
teclistamab-cqyv,off label use,78
teduglutide,acidosis,78
teduglutide,hip fracture,78
teduglutide,hyperpyrexia,78
teduglutide,infusion site bruising,78
teduglutide,post procedural infection,78
teduglutide,skin lesion,78
teduglutide,vision blurred,78
tezepelumab,hypertension,78
tezepelumab-ekko,injection site pain,78
tirzepatide,angioedema,78
tocilizumab,rheumatoid factor positive,78
treprostinil,feeling cold,78
treprostinil sodium,oedema peripheral,78
triamcinolone acetonide,treatment failure,78
upadacitinib,intestinal resection,78
valacyclovir hydrochloride,acute kidney injury,78
vedolizumab,catheter site injury,78
vedolizumab,cold sweat,78
vedolizumab,hepatic pain,78
vedolizumab,respiratory disorder,78
vedolizumab,substance use,78
venetoclax,transfusion,78
zolpidem tartrate,loss of consciousness,78
abaloparatide,chills,77
abaloparatide,head discomfort,77
abaloparatide,hypertension,77
abatacept,blepharospasm,77
abatacept,drug tolerance decreased,77
abatacept,nail disorder,77
abatacept,needle issue,77
acetaminophen,hypersensitivity,77
albuterol,illness,77
alectinib hydrochloride,death,77
amikacin,mycobacterium avium complex infection,77
amlodipine besylate,pruritus,77
amoxicillin,hypersensitivity,77
antihemophilic factor human,gastrointestinal haemorrhage,77
"antihemophilic factor, human recombinant",haematuria,77
asfotase alfa,injection site swelling,77
atezolizumab,colitis,77
atorvastatin,cholestasis,77
atorvastatin,demyelination,77
atorvastatin,peripheral sensory neuropathy,77
avapritinib,asthenia,77
avapritinib,peripheral swelling,77
axicabtagene ciloleucel,diffuse large b-cell lymphoma,77
azelastine hydrochloride,drug ineffective,77
azithromycin,dyspnoea,77
bevacizumab,metastases to liver,77
bimekizumab,influenza,77
bimekizumab-bkzx,device defective,77
bimekizumab-bkzx,injection site bruising,77
bremelanotide acetate,drug ineffective,77
brigatinib,acne,77
budesonide\formoterol,deafness,77
budesonide\formoterol\glycopyrrolate,fatigue,77
calcium carbonate,injury,77
calcium carbonate,urticaria,77
cangrelor,off label use,77
carbamazepine,drug-induced liver injury,77
carboplatin,pneumonitis,77
celecoxib,insomnia,77
celecoxib,lip dry,77
celecoxib,peripheral venous disease,77
chlorhexidine gluconate\isopropyl alcohol,product contamination physical,77
clopidogrel bisulfate,haemorrhage,77
corticotropin,abdominal distension,77
corticotropin,abdominal pain upper,77
cyclosporine,pain,77
daratumumab,myelosuppression,77
denosumab,therapy interrupted,77
diclofenac,maternal exposure during pregnancy,77
diclofenac,pneumonia,77
diclofenac,product use in unapproved indication,77
diclofenac sodium,blood cholesterol increased,77
diclofenac sodium,liver injury,77
diclofenac sodium,sleep disorder,77
docetaxel,metastases to lymph nodes,77
doxycycline,vomiting,77
dupilumab,glaucoma,77
dupilumab,sleep apnoea syndrome,77
efanesoctocog alfa,traumatic haemorrhage,77
elexacaftor\ivacaftor\tezacaftor,feeling abnormal,77
empagliflozin,drug ineffective,77
enfortumab vedotin-ejfv,inappropriate schedule of product administration,77
erenumab-aooe,nausea,77
escitalopram oxalate,nausea,77
escitalopram oxalate,serotonin syndrome,77
esketamine,death,77
esketamine,physical examination abnormal,77
esomeprazole magnesium,cerebrovascular accident,77
evolocumab,illness,77
ezetimibe,nausea,77
fenfluramine,rhinovirus infection,77
ferric maltol,inappropriate schedule of product administration,77
finasteride,cognitive disorder,77
foscarbidopa\foslevodopa,hospitalisation,77
foscarbidopa\foslevodopa,loss of personal independence in daily activities,77
fostamatinib,platelet count,77
fruquintinib,weight decreased,77
gabapentin,cardiac arrest,77
gabapentin,pain in extremity,77
gemcitabine,fatigue,77
human c1-esterase inhibitor,influenza,77
human immunoglobulin g,abscess,77
human immunoglobulin g,encephalitis,77
human immunoglobulin g,energy increased,77
human immunoglobulin g,epilepsy,77
human immunoglobulin g,intestinal ischaemia,77
human immunoglobulin g,muscle tightness,77
human immunoglobulin g,septic shock,77
human immunoglobulin g\hyaluronidase (human recombinant),hypoglycaemia,77
human immunoglobulin g\hyaluronidase (human recombinant),skin abrasion,77
human immunoglobulin g\hyaluronidase (human recombinant),skin disorder,77
human immunoglobulin g\hyaluronidase (human recombinant),speech disorder,77
human immunoglobulin g\hyaluronidase (human recombinant),wound,77
hyaluronidase-zzxf\pertuzumab\trastuzumab,off label use,77
icatibant acetate,loss of personal independence in daily activities,77
idursulfase,discouragement,77
idursulfase,haemorrhage,77
idursulfase,joint injury,77
idursulfase,urinary tract infection,77
infliximab,joint swelling,77
insulin lispro,vomiting,77
insulin lispro,wrong technique in product usage process,77
istradefylline,hallucination,77
ixazomib,product packaging quantity issue,77
ixazomib,pyrexia,77
lenalidomide,dysphonia,77
lenvatinib,urinary tract infection,77
levetiracetam,gait disturbance,77
levothyroxine sodium,intentional product use issue,77
levothyroxine sodium,product quality issue,77
lidocaine,drug ineffective for unapproved indication,77
linezolid,platelet count decreased,77
mavacamten,dizziness,77
mepolizumab,chest pain,77
mepolizumab,eosinophilic granulomatosis with polyangiitis,77
mepolizumab,general physical health deterioration,77
methotrexate,death,77
methotrexate,haemophagocytic lymphohistiocytosis,77
methotrexate,knee arthroplasty,77
methotrexate,memory impairment,77
morphine sulfate,nausea,77
mupirocin,product use in unapproved indication,77
mycophenolate mofetil,abdominal pain,77
mycophenolate mofetil,weight decreased,77
nintedanib,lung disorder,77
niraparib,anaemia,77
niraparib,product use issue,77
nitroglycerin,drug ineffective,77
nivolumab,blood pressure increased,77
ocrelizumab,vision blurred,77
ofatumumab,nasal congestion,77
omeprazole,acute kidney injury,77
osimertinib,pleural effusion,77
oxaliplatin,condition aggravated,77
oxaliplatin,flushing,77
oxycodone hydrochloride,abdominal discomfort,77
palbociclib,epistaxis,77
pembrolizumab,ascites,77
pembrolizumab,hepatic cytolysis,77
ponatinib,abdominal discomfort,77
quetiapine,foetal exposure during pregnancy,77
ribociclib,neutrophil count decreased,77
ribociclib,pruritus,77
riociguat,nausea,77
ripretinib,product dose omission issue,77
risankizumab-rzaa,cyst,77
risankizumab-rzaa,musculoskeletal stiffness,77
risperidone,treatment noncompliance,77
rituximab,cystitis,77
rituximab,liver function test increased,77
rituximab,neuromyelitis optica spectrum disorder,77
rivaroxaban,dizziness,77
rivaroxaban,dyspnoea,77
rotigotine,product dose omission issue,77
ruxolitinib,malignant neoplasm progression,77
sarilumab,injection site reaction,77
semaglutide,arthritis,77
semaglutide,muscular weakness,77
semaglutide,oropharyngeal pain,77
sodium oxybate,decreased appetite,77
sodium oxybate,hyperhidrosis,77
sotatercept-csrk,dizziness,77
sotatercept-csrk,pericardial effusion,77
sparsentan,dizziness postural,77
sumatriptan,drug ineffective,77
suzetrigine,pruritus,77
tacrolimus,cytomegalovirus infection reactivation,77
teduglutide,catheter site discharge,77
teduglutide,duodenal polyp,77
teduglutide,glomerular filtration rate abnormal,77
teduglutide,pelvic pain,77
teduglutide,pharyngitis streptococcal,77
teduglutide,rheumatoid arthritis,77
teduglutide,skin cancer,77
teduglutide,skin fissures,77
teprotumumab-trbw,off label use,77
tirzepatide,lip swelling,77
tislelizumab,granulocyte count decreased,77
tocilizumab,hypercholesterolaemia,77
tocilizumab,liver disorder,77
tocilizumab,skin laceration,77
tralokinumab-ldrm,eczema,77
tramadol,intentional overdose,77
treprostinil,sleep disorder,77
treprostinil,speech disorder,77
trofinetide,insomnia,77
upadacitinib,alopecia,77
upadacitinib,asthma,77
upadacitinib,foot operation,77
upadacitinib,oropharyngeal pain,77
upadacitinib,shoulder arthroplasty,77
upadacitinib,vision blurred,77
varenicline,nausea,77
vedolizumab,extrasystoles,77
vedolizumab,intervertebral disc degeneration,77
vedolizumab,shoulder fracture,77
velaglucerase alfa,abdominal pain lower,77
velaglucerase alfa,dysmenorrhoea,77
venetoclax,drug ineffective,77
venlafaxine hydrochloride,cardiotoxicity,77
vonoprazan fumarate,headache,77
vonoprazan fumarate,product dose omission issue,77
zoledronic acid,decreased immune responsiveness,77
.alpha.1-proteinase inhibitor human,respiration abnormal,76
abatacept,oedema peripheral,76
acalabrutinib,nephrolithiasis,76
adalimumab-aaty,off label use,76
adalimumab-afzb,pain,76
albuterol sulfate,product substitution issue,76
alendronate sodium,oedema peripheral,76
"antihemophilic factor, human recombinant",malaise,76
aripiprazole,gambling disorder,76
belimumab,weight decreased,76
benralizumab,neoplasm malignant,76
bevacizumab,general physical health deterioration,76
bevacizumab,hepatic function abnormal,76
brentuximab vedotin,myelosuppression,76
brigatinib,hypersensitivity,76
budesonide,abdominal discomfort,76
buprenorphine,fatigue,76
calcium carbonate,chest pain,76
calcium carbonate,dizziness,76
calcium carbonate,impaired healing,76
calcium carbonate,peripheral swelling,76
calcium oxybate\magnesium oxybate\potassium oxybate\sodium oxybate,abdominal pain upper,76
calcium oxybate\magnesium oxybate\potassium oxybate\sodium oxybate,back pain,76
capecitabine,therapy partial responder,76
capivasertib,pyrexia,76
carbidopa\levodopa,insomnia,76
carboplatin,infusion related reaction,76
celecoxib,lung disorder,76
celecoxib,night sweats,76
cenegermin-bkbj,swelling of eyelid,76
citalopram,dizziness,76
cladribine,nausea,76
clozapine,delusion of grandeur,76
conestat alfa,underdose,76
corticotropin,tremor,76
cyclophosphamide,pancytopenia,76
cyclophosphamide,pneumonia,76
cyclophosphamide,white blood cell count decreased,76
cyclosporine,sepsis,76
daxibotulinumtoxin a-lanm,underdose,76
deutetrabenazine,tardive dyskinesia,76
diazepam,miosis,76
diclofenac,type 2 diabetes mellitus,76
dulaglutide,gastrointestinal disorder,76
dupilumab,increased appetite,76
dupilumab,nasal dryness,76
dupilumab,parosmia,76
durvalumab,thrombocytopenia,76
ecallantide,hereditary angioedema,76
emtricitabine\tenofovir disoproxil fumarate,emotional distress,76
escitalopram oxalate,depression,76
escitalopram oxalate,headache,76
esomeprazole,fatigue,76
esomeprazole magnesium,dysphagia,76
estradiol,nausea,76
estradiol,rash,76
etanercept,dyspnoea,76
etanercept,pain in extremity,76
etanercept-szzs,injection site pain,76
etanercept-szzs,product dose omission issue,76
etonogestrel,device issue,76
evolocumab,injection site mass,76
fingolimod hydrochloride,fatigue,76
foscarbidopa\foslevodopa,infusion site cellulitis,76
fremanezumab-vfrm,injection site erythema,76
glatiramer acetate,injection site mass,76
guselkumab,diarrhoea,76
human immunoglobulin g,haemolysis,76
human immunoglobulin g,spinal disorder,76
human immunoglobulin g\hyaluronidase (human recombinant),device alarm issue,76
human immunoglobulin g\hyaluronidase (human recombinant),infusion site discolouration,76
human immunoglobulin g\hyaluronidase (human recombinant),laryngitis,76
human immunoglobulin g\hyaluronidase (human recombinant),plasma cell myeloma,76
ibrutinib,urinary tract infection,76
idursulfase,emotional distress,76
